,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit,sex
40,None,30,None/Paid,A43,2333,500+,4+ years,4,single,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,1,1.0
41,<200,12,None/Paid,A43,1158,500+,1-4 years,3,divorced/separated,A101,1,A123,26,A143,A152,1,A173,1,A192,A201,1,1.0
42,<200,18,Delay,A45,6204,<500,1-4 years,2,single,A101,4,A121,44,A143,A152,1,A172,2,A192,A201,1,1.0
43,<200,30,Other,A41,6187,<500,4+ years,1,married/widowed,A101,4,A123,24,A143,A151,2,A173,1,A191,A201,1,1.0
44,<200,48,Other,A41,6143,<500,4+ years,4,divorced/separated/married,A101,4,A124,58,A142,A153,2,A172,1,A191,A201,2,0.0
45,None,11,Other,A40,1393,<500,1-4 years,4,divorced/separated/married,A101,4,A123,35,A143,A152,2,A174,1,A191,A201,1,0.0
46,None,36,None/Paid,A43,2299,500+,4+ years,4,single,A101,4,A123,39,A143,A152,1,A173,1,A191,A201,1,1.0
47,<200,6,None/Paid,A41,1352,500+,Unemployed,1,divorced/separated/married,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,1,0.0
48,None,11,Other,A40,7228,<500,1-4 years,1,single,A101,4,A122,39,A143,A152,2,A172,1,A191,A201,1,1.0
49,None,12,None/Paid,A43,2073,<500,1-4 years,4,divorced/separated/married,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,1,0.0
50,<200,24,Delay,A42,2333,Unknown/None,1-4 years,4,single,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,1,1.0
51,<200,27,Delay,A41,5965,<500,4+ years,1,single,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,1,1.0
52,None,12,None/Paid,A43,1262,<500,1-4 years,3,single,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1,1.0
53,None,18,None/Paid,A41,3378,Unknown/None,1-4 years,2,single,A101,1,A122,31,A143,A152,1,A173,1,A192,A201,1,1.0
54,<200,36,Delay,A40,2225,<500,4+ years,4,single,A101,4,A124,57,A141,A153,2,A173,1,A192,A201,2,1.0
55,None,6,None/Paid,A40,783,Unknown/None,1-4 years,1,single,A103,2,A121,26,A142,A152,1,A172,2,A191,A201,1,1.0
56,<200,12,None/Paid,A43,6468,Unknown/None,Unemployed,2,single,A101,1,A124,52,A143,A152,1,A174,1,A192,A201,2,1.0
57,None,36,Other,A43,9566,<500,1-4 years,2,divorced/separated/married,A101,2,A123,31,A142,A152,2,A173,1,A191,A201,1,0.0
58,200+,18,None/Paid,A40,1961,<500,4+ years,3,divorced/separated/married,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,1,0.0
59,<200,36,Other,A42,6229,<500,1-4 years,4,divorced/separated/married,A102,4,A124,23,A143,A151,2,A172,1,A192,A201,2,0.0
60,<200,9,None/Paid,A49,1391,<500,1-4 years,2,married/widowed,A101,1,A121,27,A141,A152,1,A173,1,A192,A201,1,1.0
61,<200,15,Other,A43,1537,Unknown/None,4+ years,4,single,A103,4,A121,50,A143,A152,2,A173,1,A192,A201,1,1.0
62,<200,36,None/Paid,A49,1953,<500,4+ years,4,single,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,2,1.0
63,<200,48,None/Paid,A49,14421,<500,1-4 years,2,single,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,2,1.0
64,None,24,None/Paid,A43,3181,<500,1-4 years,4,divorced/separated/married,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,1,0.0
65,None,27,None/Paid,A45,5190,Unknown/None,4+ years,4,single,A101,4,A122,48,A143,A152,4,A173,2,A192,A201,1,1.0
66,None,12,None/Paid,A43,2171,<500,1-4 years,2,divorced/separated/married,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1,0.0
67,<200,12,None/Paid,A40,1007,500+,1-4 years,4,married/widowed,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,1,1.0
68,None,36,None/Paid,A46,1819,<500,1-4 years,4,single,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,2,1.0
69,None,36,None/Paid,A43,2394,Unknown/None,1-4 years,4,divorced/separated/married,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,1,0.0
70,None,36,None/Paid,A41,8133,<500,1-4 years,1,divorced/separated/married,A101,2,A122,30,A141,A152,1,A173,1,A191,A201,1,0.0
71,None,7,Other,A43,730,Unknown/None,4+ years,4,single,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,1,1.0
72,<200,8,Other,A410,1164,<500,4+ years,3,single,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,1,1.0
73,<200,42,Other,A49,5954,<500,4+ years,2,divorced/separated/married,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,1,0.0
74,<200,36,None/Paid,A46,1977,Unknown/None,4+ years,4,single,A101,4,A124,40,A143,A152,1,A174,1,A192,A201,2,1.0
75,<200,12,Other,A41,1526,<500,4+ years,4,single,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,1,1.0
76,<200,42,None/Paid,A43,3965,<500,1-4 years,4,single,A101,3,A123,34,A143,A152,1,A173,1,A191,A201,2,1.0
77,<200,11,Delay,A43,4771,<500,4+ years,2,single,A101,4,A122,51,A143,A152,1,A173,1,A191,A201,1,1.0
78,None,54,None/Paid,A41,9436,Unknown/None,1-4 years,2,single,A101,2,A122,39,A143,A152,1,A172,2,A191,A201,1,1.0
79,<200,30,None/Paid,A42,3832,<500,1-4 years,2,married/widowed,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,1,1.0
80,None,24,None/Paid,A43,5943,Unknown/None,1-4 years,1,divorced/separated/married,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,2,0.0
81,None,15,None/Paid,A43,1213,500+,4+ years,4,single,A101,3,A122,47,A142,A152,1,A173,1,A192,A201,1,1.0
82,None,18,None/Paid,A49,1568,<500,1-4 years,3,divorced/separated/married,A101,4,A122,24,A143,A151,1,A172,1,A191,A201,1,0.0
83,<200,24,None/Paid,A410,1755,<500,4+ years,4,divorced/separated/married,A103,4,A121,58,A143,A152,1,A172,1,A192,A201,1,0.0
84,<200,10,None/Paid,A43,2315,<500,4+ years,3,single,A101,4,A121,52,A143,A152,1,A172,1,A191,A201,1,1.0
85,None,12,Other,A49,1412,<500,1-4 years,4,divorced/separated/married,A103,2,A121,29,A143,A152,2,A174,1,A192,A201,1,0.0
86,<200,18,Other,A42,1295,<500,1-4 years,4,divorced/separated/married,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,1,0.0
87,<200,36,None/Paid,A46,12612,<500,1-4 years,1,single,A101,4,A124,47,A143,A153,1,A173,2,A192,A201,2,1.0
88,<200,18,None/Paid,A40,2249,<500,4+ years,4,single,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,1,1.0
89,<200,12,None/Paid,A45,1108,<500,4+ years,4,single,A101,3,A121,28,A143,A152,2,A173,1,A191,A201,2,1.0
90,None,12,Other,A43,618,<500,4+ years,4,single,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,1,1.0
91,<200,12,Other,A41,1409,<500,4+ years,4,single,A101,3,A121,54,A143,A152,1,A173,1,A191,A201,1,1.0
92,None,12,Other,A43,797,Unknown/None,4+ years,4,divorced/separated/married,A101,3,A122,33,A141,A152,1,A172,2,A191,A201,2,0.0
93,200+,24,Other,A42,3617,Unknown/None,4+ years,4,single,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,1,1.0
94,<200,12,None/Paid,A40,1318,500+,4+ years,4,single,A101,4,A121,54,A143,A152,1,A173,1,A192,A201,1,1.0
95,<200,54,None/Paid,A49,15945,<500,1-4 years,3,single,A101,4,A124,58,A143,A151,1,A173,1,A192,A201,2,1.0
96,None,12,Other,A46,2012,Unknown/None,4+ years,4,divorced/separated/married,A101,2,A123,61,A143,A152,1,A173,1,A191,A201,1,0.0
97,<200,18,None/Paid,A49,2622,<500,1-4 years,4,single,A101,4,A123,34,A143,A152,1,A173,1,A191,A201,1,1.0
98,<200,36,Other,A43,2337,<500,4+ years,4,single,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,1,1.0
99,<200,20,Delay,A41,7057,Unknown/None,4+ years,3,single,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,1,1.0
100,None,24,None/Paid,A40,1469,<500,4+ years,4,married/widowed,A101,4,A121,41,A143,A151,1,A172,1,A191,A201,1,1.0
101,<200,36,None/Paid,A43,2323,<500,4+ years,4,single,A101,4,A123,24,A143,A151,1,A173,1,A191,A201,1,1.0
102,None,6,Delay,A43,932,<500,1-4 years,3,divorced/separated/married,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,1,0.0
103,<200,9,Other,A42,1919,<500,4+ years,4,single,A101,3,A123,35,A143,A151,1,A173,1,A192,A201,1,1.0
104,None,12,None/Paid,A41,2445,Unknown/None,1-4 years,2,married/widowed,A101,4,A123,26,A143,A151,1,A173,1,A192,A201,1,1.0
105,<200,24,Other,A410,11938,<500,1-4 years,2,single,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,2,1.0
106,None,18,None/Paid,A40,6458,<500,4+ years,2,single,A101,4,A124,39,A141,A152,2,A174,2,A192,A201,2,1.0
107,<200,12,None/Paid,A40,6078,<500,4+ years,2,single,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,1,1.0
108,<200,24,None/Paid,A42,7721,Unknown/None,1-4 years,1,divorced/separated/married,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,1,0.0
109,<200,14,None/Paid,A49,1410,500+,4+ years,1,married/widowed,A101,2,A121,35,A143,A152,1,A173,1,A192,A201,1,1.0
110,<200,6,Delay,A49,1449,<500,4+ years,1,divorced/separated,A101,2,A123,31,A141,A152,2,A173,2,A191,A201,1,1.0
111,200+,15,None/Paid,A46,392,<500,1-4 years,4,divorced/separated/married,A101,4,A122,23,A143,A151,1,A173,1,A192,A201,1,0.0
112,<200,18,None/Paid,A40,6260,<500,4+ years,3,single,A101,3,A121,28,A143,A151,1,A172,1,A191,A201,1,1.0
113,None,36,Other,A40,7855,<500,1-4 years,4,divorced/separated/married,A101,2,A121,25,A142,A152,2,A173,1,A192,A201,2,0.0
114,<200,12,None/Paid,A43,1680,500+,4+ years,3,married/widowed,A101,1,A121,35,A143,A152,1,A173,1,A191,A201,1,1.0
115,None,48,Other,A43,3578,Unknown/None,4+ years,4,single,A101,1,A121,47,A143,A152,1,A173,1,A192,A201,1,1.0
116,<200,42,None/Paid,A43,7174,Unknown/None,4+ years,4,divorced/separated/married,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,2,0.0
117,<200,10,Other,A42,2132,Unknown/None,1-4 years,2,divorced/separated/married,A102,3,A121,27,A143,A151,2,A173,1,A191,A202,1,0.0
118,<200,33,Other,A42,4281,500+,1-4 years,1,divorced/separated/married,A101,4,A123,23,A143,A152,2,A173,1,A191,A201,2,0.0
119,<200,12,Other,A40,2366,500+,4+ years,3,divorced/separated,A101,3,A123,36,A143,A152,1,A174,1,A192,A201,1,1.0
120,<200,21,None/Paid,A43,1835,<500,1-4 years,3,divorced/separated/married,A101,2,A121,25,A143,A152,2,A173,1,A192,A201,2,0.0
121,None,24,Other,A41,3868,<500,4+ years,4,divorced/separated/married,A101,2,A123,41,A143,A151,2,A174,1,A192,A201,1,0.0
122,None,12,None/Paid,A42,1768,<500,1-4 years,3,single,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1,1.0
123,200+,10,Other,A40,781,<500,4+ years,4,single,A101,4,A124,63,A143,A153,2,A173,1,A192,A201,1,1.0
124,<200,18,None/Paid,A42,1924,Unknown/None,1-4 years,4,divorced/separated/married,A101,3,A121,27,A143,A151,1,A173,1,A191,A201,2,0.0
125,<200,12,Other,A40,2121,<500,1-4 years,4,single,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,1,1.0
126,<200,12,None/Paid,A43,701,<500,1-4 years,4,married/widowed,A101,2,A121,40,A143,A152,1,A172,1,A191,A201,1,1.0
127,<200,12,None/Paid,A45,639,<500,1-4 years,4,single,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,2,1.0
128,<200,12,Other,A41,1860,<500,Unemployed,4,single,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,1,1.0
129,<200,12,Other,A40,3499,<500,1-4 years,3,divorced/separated/married,A102,2,A121,29,A143,A152,2,A173,1,A191,A201,2,0.0
130,<200,48,None/Paid,A40,8487,Unknown/None,4+ years,1,divorced/separated/married,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,1,0.0
131,<200,36,Delay,A46,6887,<500,1-4 years,4,single,A101,3,A122,29,A142,A152,1,A173,1,A192,A201,2,1.0
132,None,15,None/Paid,A42,2708,<500,1-4 years,2,single,A101,3,A122,27,A141,A152,2,A172,1,A191,A201,1,1.0
133,None,18,None/Paid,A42,1984,<500,1-4 years,4,single,A101,4,A124,47,A141,A153,2,A173,1,A191,A201,1,1.0
134,None,60,None/Paid,A43,10144,<500,4+ years,2,divorced/separated/married,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,1,0.0
135,None,12,Other,A43,1240,Unknown/None,4+ years,4,divorced/separated/married,A101,2,A121,38,A143,A152,2,A173,1,A192,A201,1,0.0
136,None,27,Delay,A41,8613,500+,1-4 years,2,single,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,1.0
137,<200,12,None/Paid,A43,766,500+,1-4 years,4,single,A101,3,A121,66,A143,A152,1,A172,1,A191,A201,2,1.0
138,<200,15,Other,A43,2728,Unknown/None,4+ years,4,single,A103,2,A121,35,A141,A152,3,A173,1,A192,A201,1,1.0
139,200+,12,None/Paid,A43,1881,<500,1-4 years,2,divorced/separated/married,A101,2,A123,44,A143,A151,1,A172,1,A192,A201,1,0.0
140,200+,6,None/Paid,A40,709,500+,1-4 years,2,married/widowed,A101,2,A121,27,A143,A152,1,A171,1,A191,A202,1,1.0
141,<200,36,None/Paid,A43,4795,<500,1-4 years,4,divorced/separated/married,A101,1,A124,30,A143,A152,1,A174,1,A192,A201,1,0.0
142,<200,27,None/Paid,A43,3416,<500,1-4 years,3,single,A101,2,A123,27,A143,A152,1,A174,1,A191,A201,1,1.0
143,<200,18,None/Paid,A42,2462,<500,1-4 years,2,single,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,2,1.0
144,None,21,Other,A42,2288,<500,1-4 years,4,divorced/separated/married,A101,4,A122,23,A143,A152,1,A173,1,A192,A201,1,0.0
145,<200,48,None/Paid,A49,3566,<500,4+ years,4,single,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1,1.0
146,<200,6,Other,A40,860,<500,4+ years,1,divorced/separated/married,A101,4,A124,39,A143,A152,2,A173,1,A192,A201,1,0.0
147,None,12,Other,A40,682,<500,4+ years,4,divorced/separated/married,A101,3,A123,51,A143,A152,2,A173,1,A192,A201,1,0.0
148,<200,36,Other,A42,5371,<500,1-4 years,3,single,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,1,1.0
149,None,18,Other,A43,1582,500+,4+ years,4,single,A101,4,A123,46,A143,A152,2,A173,1,A191,A201,1,1.0
150,None,6,None/Paid,A43,1346,<500,4+ years,2,single,A101,4,A124,42,A141,A153,1,A173,2,A192,A201,1,1.0
151,None,10,None/Paid,A43,1924,<500,1-4 years,1,single,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,1,1.0
152,200+,36,None/Paid,A43,5848,<500,1-4 years,4,single,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,1,1.0
153,<200,24,Other,A41,7758,500+,4+ years,2,divorced/separated/married,A101,4,A124,29,A143,A151,1,A173,1,A191,A201,1,0.0
154,<200,24,Delay,A49,6967,<500,4+ years,4,single,A101,4,A123,36,A143,A151,1,A174,1,A192,A201,1,1.0
155,<200,12,None/Paid,A42,1282,<500,1-4 years,2,divorced/separated/married,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,2,0.0
156,<200,9,Other,A45,1288,<500,4+ years,3,single,A103,4,A121,48,A143,A152,2,A173,2,A191,A202,1,1.0
157,<200,12,None/Paid,A48,339,<500,4+ years,4,married/widowed,A101,1,A123,45,A141,A152,1,A172,1,A191,A201,1,1.0
158,<200,24,None/Paid,A40,3512,<500,4+ years,2,single,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,1,1.0
159,None,6,Other,A43,1898,Unknown/None,1-4 years,1,single,A101,2,A121,34,A143,A152,2,A172,2,A191,A201,1,1.0
160,None,24,Other,A43,2872,<500,4+ years,3,single,A101,4,A121,36,A143,A152,1,A173,2,A192,A201,1,1.0
161,None,18,Other,A40,1055,<500,1-4 years,4,divorced/separated/married,A101,1,A122,30,A143,A152,2,A173,1,A191,A201,1,0.0
162,None,15,None/Paid,A44,1262,500+,4+ years,4,single,A101,3,A122,36,A143,A152,2,A173,1,A192,A201,1,1.0
163,<200,10,None/Paid,A40,7308,<500,Unemployed,2,single,A101,4,A124,70,A141,A153,1,A174,1,A192,A201,1,1.0
164,None,36,None/Paid,A40,909,500+,4+ years,4,single,A101,4,A122,36,A143,A152,1,A173,1,A191,A201,1,1.0
165,None,6,None/Paid,A42,2978,500+,1-4 years,1,single,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,1,1.0
166,<200,18,None/Paid,A42,1131,<500,Unemployed,4,divorced/separated/married,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,2,0.0
167,<200,11,None/Paid,A42,1577,500+,1-4 years,4,divorced/separated/married,A101,1,A121,20,A143,A152,1,A173,1,A191,A201,1,0.0
168,None,24,None/Paid,A42,3972,<500,4+ years,2,divorced/separated/married,A101,4,A122,25,A143,A151,1,A173,1,A192,A201,1,0.0
169,<200,24,Other,A49,1935,<500,4+ years,4,divorced/separated,A101,4,A121,31,A143,A152,2,A173,1,A192,A201,2,1.0
170,<200,15,None/Paid,A40,950,<500,4+ years,4,single,A101,3,A123,33,A143,A151,2,A173,2,A191,A201,2,1.0
171,None,12,None/Paid,A42,763,<500,1-4 years,4,divorced/separated/married,A101,1,A121,26,A143,A152,1,A173,1,A192,A201,1,0.0
172,<200,24,Delay,A42,2064,<500,Unemployed,3,divorced/separated/married,A101,2,A122,34,A143,A152,1,A174,1,A192,A201,2,0.0
173,<200,8,None/Paid,A43,1414,<500,1-4 years,4,single,A103,2,A121,33,A143,A152,1,A173,1,A191,A202,1,1.0
174,<200,21,Delay,A46,3414,<500,1-4 years,2,single,A101,1,A122,26,A143,A152,2,A173,1,A191,A201,2,1.0
175,None,30,None/Paid,A41,7485,Unknown/None,Unemployed,4,divorced/separated/married,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,2,0.0
176,<200,12,None/Paid,A42,2577,<500,1-4 years,2,divorced/separated,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,1,1.0
177,<200,6,Other,A43,338,500+,4+ years,4,single,A101,4,A123,52,A143,A152,2,A173,1,A191,A201,1,1.0
178,None,12,None/Paid,A43,1963,<500,4+ years,4,single,A101,2,A123,31,A143,A151,2,A174,2,A192,A201,1,1.0
179,<200,21,Other,A40,571,<500,4+ years,4,single,A101,4,A121,65,A143,A152,2,A173,1,A191,A201,1,1.0
180,None,36,Delay,A49,9572,<500,1-4 years,1,divorced/separated,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,2,1.0
181,<200,36,Delay,A49,4455,<500,1-4 years,2,divorced/separated,A101,2,A121,30,A142,A152,2,A174,1,A192,A201,2,1.0
182,<200,21,None/Paid,A40,1647,Unknown/None,1-4 years,4,single,A101,2,A122,40,A143,A152,2,A172,2,A191,A201,2,1.0
183,None,24,Other,A42,3777,500+,1-4 years,4,single,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,1,1.0
184,<200,18,Other,A40,884,<500,4+ years,4,single,A101,4,A123,36,A141,A152,1,A173,2,A192,A201,2,1.0
185,None,15,Other,A43,1360,<500,1-4 years,4,single,A101,2,A122,31,A143,A152,2,A173,1,A191,A201,1,1.0
186,<200,9,None/Paid,A41,5129,<500,4+ years,2,divorced/separated/married,A101,4,A124,74,A141,A153,1,A174,2,A192,A201,2,0.0
187,<200,16,Other,A40,1175,<500,Unemployed,2,single,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,1,1.0
188,<200,12,None/Paid,A43,674,<500,4+ years,4,married/widowed,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,2,1.0
189,<200,18,None/Paid,A42,3244,<500,1-4 years,1,divorced/separated/married,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,1,0.0
190,None,24,None/Paid,A49,4591,500+,1-4 years,2,single,A101,3,A122,54,A143,A152,3,A174,1,A192,A201,2,1.0
191,<200,48,None/Paid,A49,3844,<500,4+ years,4,single,A101,4,A124,34,A143,A153,1,A172,2,A191,A201,2,1.0
192,<200,27,None/Paid,A49,3915,<500,1-4 years,4,single,A101,2,A123,36,A143,A152,1,A173,2,A192,A201,2,1.0
193,None,6,None/Paid,A43,2108,<500,4+ years,2,married/widowed,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,1,1.0
194,<200,45,None/Paid,A43,3031,<500,1-4 years,4,single,A103,4,A122,21,A143,A151,1,A173,1,A191,A201,2,1.0
195,<200,9,Other,A46,1501,<500,4+ years,2,divorced/separated/married,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,2,0.0
196,None,6,Other,A43,1382,<500,1-4 years,1,divorced/separated/married,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,1,0.0
197,<200,12,None/Paid,A42,951,<500,1-4 years,4,divorced/separated/married,A101,4,A123,27,A141,A151,4,A173,1,A191,A201,2,0.0
198,<200,24,None/Paid,A41,2760,Unknown/None,4+ years,4,single,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,1,1.0
199,<200,18,Delay,A42,4297,<500,4+ years,4,divorced/separated,A101,3,A124,40,A143,A152,1,A174,1,A192,A201,2,1.0
200,None,9,Other,A46,936,500+,4+ years,4,single,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,1,1.0
